Acronym,Name
3DO,3DO Interactive Multiplayer
3DS,3Ds - Nintendo 3DS
2600,Atari 2600
DS,DS - Nintendo Dual Screen
GB,Game Boy
GG,Game Gear
GC,GameCube
GBA,GBA - Game Boy Advanced
NG,Neo Geo
NES,NES - Nintendo Entertainment System
N64,Nintendo 64
PC,PC - Personal Computer
PCFX,PC-FX
PS,PlayStation
PSV,PlayStation Vita
PS2,PS2 - PlayStation 2
PS3,PS3 - PlayStation 3
PS4,PS4 - PlayStation 4
PSP,PSP - PlayStation Portable
SCD,Sega CD
DC,Sega Dreamcast
GEN,Sega Genesis
SAT,Sega Saturn
SNES,SNES - Super Nintendo Entertainment System
TG16,TurboGrafx-16
Wii,Wii
WiiU,WiiU
WS,WonderSwan
XB,Xbox
X360,Xbox 360
XOne,Xbox One
